search_string,predict_under_code,line_no,similarity,filepath
"// TODO turn into parameter?","public LDAPSampler() {",90,0.5925925925925926,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/protocol/ldap/org/apache/jmeter/protocol/ldap/sampler/LDAPSampler.java
"// TODO: should this just call super()?","return;",44,0.8048780487804879,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/jorphan/org/apache/jorphan/gui/RateRenderer.java
"// TODO improve this","LdapClient ldap = new LdapClient();",438,0.425,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/protocol/ldap/org/apache/jmeter/protocol/ldap/sampler/LDAPSampler.java
"// TODO do contentType and/or dataEncoding belong in HTTPSampleResult instead?","private static final boolean startTimeStamp",211,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/core/org/apache/jmeter/samplers/SampleResult.java
"// TODO - needs more work ...","if (getPropertyAsString(TEST).equals(SEARCHBASE) && !searchFoundEntries) {",454,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/protocol/ldap/org/apache/jmeter/protocol/ldap/sampler/LDAPSampler.java
"// Maybe move to vector if MT problems occur","private final ArrayList<ChangeListener> mChangeListeners = new ArrayList<ChangeListener>(3);",45,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/jorphan/org/apache/jorphan/gui/JLabeledChoice.java
"// TODO: This method doesn't appear to be used.","String key = elementClass.getName();",101,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/core/org/apache/jmeter/gui/GUIFactory.java
"// TODO is this really necessary?","// Extend the time to the end of the added sample",572,0.6666666666666666,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/core/org/apache/jmeter/samplers/SampleResult.java
"// Programming error: bail out.","}",111,0.5454545454545454,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/core/org/apache/jmeter/testbeans/BeanInfoSupport.java
"// TODO should this throw an error?","} else {",993,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/core/org/apache/jmeter/samplers/SampleResult.java
"// houston we have a problem !!","log.error("Unable to create a sample sender from class:'"+type+"', search for mode property in jmeter.properties for correct configuration options");",97,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/core/org/apache/jmeter/samplers/SampleSenderFactory.java
"//TODO replace with proper Exception","log.error("Unable to instantiate tidy parser", e);",123,0.7710843373493976,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/components/org/apache/jmeter/assertions/HTMLAssertion.java
"// TODO - charset? // TODO this should really be request data, but there is none","res.setResponseData(sb.toString().getBytes()); // TODO this should really be request data, but there is none",291,0.375,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/protocol/mail/org/apache/jmeter/protocol/smtp/sampler/SmtpSampler.java
"// in milli-seconds // TODO: properties?","private int intervalValue = INTERVAL_DEFAULT;",106,0.6140350877192983,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/components/org/apache/jmeter/visualizers/RespTimeGraphVisualizer.java
"//TODO - move to JOrphanUtils?","public static int findInArray(String[] array, String value) {",1069,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/core/org/apache/jmeter/util/JMeterUtils.java
"// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class","// TODO - remove UnsharedComponent ? Probably does not make sense for a TestBean.",34,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/components/org/apache/jmeter/visualizers/BeanShellListener.java
"// Can be null (not sure why)","headerFieldsPanel.remove(headerValue);",1024,0.6764705882352942,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/protocol/mail/org/apache/jmeter/protocol/smtp/sampler/gui/SmtpPanel.java
"//TODO implement other non-text types","}",495,0.6285714285714286,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/components/org/apache/jmeter/visualizers/SamplerResultTab.java
"// TODO this is not populated currently","/** send plain body, i.e. not multipart/mixed */",98,0.55,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/protocol/mail/org/apache/jmeter/protocol/smtp/sampler/protocol/SendMailCommand.java
"// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class // TODO - remove UnsharedComponent ? Probably does not make sense for a TestBean.","private static final Logger log = LoggingManager.getLoggerForClass();",34,0.6851851851851852,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/components/org/apache/jmeter/visualizers/BeanShellListener.java
"// $NON-NLS-1$ // TODO - use a different format here?","None",None,None,None
"// NOTUSED: long[] longSample = getSamples(); // load each node","long loadFactor = n / numberOfNodes;",118,0.851063829787234,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/components/org/apache/jmeter/visualizers/SplineModel.java
"//This can lead to code smell, meh! Do we care","public String handle(Object o) {",28,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/protocol/mongodb/org/apache/jmeter/protocol/mongodb/mongo/EvalResultHandler.java
"// TODO is this ever used?","public TextAreaEditor(Object source) {",70,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/core/org/apache/jmeter/testbeans/gui/TextAreaEditor.java
"// TODO is this the best way to do this?","if(log.isDebugEnabled()) {",159,0.5344827586206896,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/protocol/native/org/apache/jmeter/protocol/system/SystemSampler.java
"// All keys in messages.properties are lowercase (historical reasons?)","String resKey = locale.toLowerCase(java.util.Locale.ENGLISH);",540,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/core/org/apache/jmeter/util/JMeterUtils.java
