search_string,predict_under_code,line_no,similarity,filepath
"// this may be negative","double baseX = xx0;",258,0.6129032258064516,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/renderer/xy/ClusteredXYBarRenderer.java
"// TODO: to be implemented","}",1763,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/plot/ContourPlot.java
"// TODO:  the subplot areas needs to be moved out of the plot into the plot //        state","* Default constructor.",141,0.944,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/plot/CombinedDomainXYPlot.java
"//TODO: shift block down to bottom","}",388,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/block/FlowArrangement.java
"// TODO: it might be a good idea to keep a reference to the color // specified in setPaint() or setColor(), rather than creating a // new object every time getPaint() is called.","return SWTUtils.toAwtColor(this.gc.getForeground());",248,0.5204081632653061,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/swt/org/jfree/experimental/swt/SWTGraphics2D.java
"// TODO: for now we are ignoring the height constraint","return arrangeNN(container, g2);",408,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/block/FlowArrangement.java
"// first determine the size of the chart rendering area... // TODO workout insets for SWT","Dimension size = getSize();",1545,0.7967479674796748,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/ChartPanel.java
"// TODO: implement properly","return arrangeNF(container, g2, constraint);",180,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/block/ColumnArrangement.java
"// TODO: this must be wrong...","assertEquals(176461500L, m.getSerialIndex());",308,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/tests/org/jfree/data/time/MillisecondTest.java
"// TODO: we didn't check the width yet","}",268,0.8732394366197183,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/block/ColumnArrangement.java
"// hack to ensure the newly created awt fonts will be rendered with the // same height as the swt one","if (ensureSameSize) {",178,0.8345323741007195,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/swt/org/jfree/experimental/swt/SWTUtils.java
"//TODO: shift block right by half","}",340,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/block/ColumnArrangement.java
"// FIXME: need a locale as well as a timezone","this(null, zone);",164,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/data/time/TimeSeriesCollection.java
"//TODO: shift block over to right","}",344,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/block/ColumnArrangement.java
"// do we need to update the crosshair values?","if (this.plot.isDomainCrosshairLockedOnData()) {",1635,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java
