search_string,predict_under_code,line_no,similarity,filepath
""/*			Implement String += value;			According to the JLS, value may be anything.			In BeanShell, we'll disallow VOID (undefined) values.			(or should we map them to the empty string?)		*/"","if ( lhs instanceof String && rhs != Primitive.VOID ) {",151,0.24731182795698925,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHAssignment.java
"/* this should be before dockables are initialized */","if(cache.cachedProperties != null)",873,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/PluginJAR.java
"// is this right?","throw new EvalError("Can't assign to prefix.",",98,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHPrimaryExpression.java
"// should we do this for both cases above?","localNameSpace.setNode( callerInfo );",296,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BshMethod.java
"// need to loosen this to any throwable... do we need to handle // that in interpreter somewhere?  check first...","public Object eval( CallStack callstack, Interpreter interpreter )",53,0.21153846153846154,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BSHMethodInvocation.java
"// fucking GTK look and feel","Font font = new JLabel().getFont();",604,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/StatusBar.java
""/*		Note: this implementation is temporary. We currently keep a flat		namespace of the base name of classes.  i.e. BeanShell cannot be in the		process of defining two classes in different packages with the same		base name.  To remove this limitation requires that we work through		namespace imports in an analogous (or using the same path) as regular		class import resolution.  This workaround should handle most cases 		so we'll try it for now.	*/"","protected void definingClass( String className ) {",468,0.25229357798165136,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BshClassManager.java
"// copy and paste from bsh/classpath/ClassManagerImpl.java...","public synchronized void addListener( Listener l )",762,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/BeanShell.java
"// I wish I could make this "friendly" to only NameSpace","Name( NameSpace namespace, String s )",154,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Name.java
"// undocumented hack to allow browser actions to work. // XXX - clean up in 4.3","global.setVariable("_comp",comp);",107,0.8363636363636363,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/BeanShellAction.java
"// Look for a default invoke() handler method in the namespace // Note: this code duplicates that in NameSpace getCommand() // is that ok?","bshMethod = namespace.getMethod(",280,0.6227544910179641,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/This.java
"// This should be per instance","transient static PrintStream debug;",109,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Interpreter.java
"// Can we use the proxy mechanism to cast a bsh.This to  // the correct interface?","if ( toType.isInterface()",366,0.8,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Types.java
"// redundant with constructor","setOut( console.getOut() );",260,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Interpreter.java
""/*		Issues to resolve here...		1) In which classloader should we define the class?		if there is a BshClassLoader should we define it there?		2) should we use reflection to set it in a non-bsh classloader		if there is one or should we always create a bsh classloader		(and expose its defineClass)?	*/"","public Class defineClass( String name, byte [] code )",516,0.15827338129496402,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BshClassManager.java
"// could refactor these a bit","private void validateForMethod()",57,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Modifiers.java
""/*	Note: This class essentially just delegates most of its methods to its	parent.  The setVariable() indirection is very small.  We could probably	fold this functionality back into the base NameSpace as a special case.	But this has changed a few times so I'd like to leave this abstraction for	now.*/"","class BlockNameSpace extends NameSpace",46,0.37579617834394907,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/BlockNameSpace.java
"// simplified these settings a little...","private static final String[] clickActionKeys = new String[] {",128,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/options/MouseOptionPane.java
""/*		Should check for strict java here and use isJavaAssignable() instead	*/"","static boolean isSignatureAssignable( Class[] from, Class[] to )",93,0.9291338582677166,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/Types.java
"// workaround for Swing rendering labels starting // with <html> using the HTML engine","if(item.toLowerCase().startsWith("<html>"))",171,0.7413793103448276,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/gui/PasteFromListDialog.java
"// Look for a default invoke() handler method in the namespace // Note: this code duplicates that in This.java... should it? // Call on 'This' can never be a command","// Note: this code duplicates that in NameSpace getCommand()",280,0.5531914893617021,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/bsh/This.java
"// this method is a nightmare","if(lastScreenLine >= lineInfo.length)",532,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/org/gjt/sp/jedit/textarea/ChunkCache.java
